==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0007178   cell surface receptor protein serine/threonine kinase    14     216     16.3  4.3e-13    4.1e-12
GO:0038084   vascular endothelial growth factor signaling pathway      8      24     83.9  4.5e-13    4.2e-12
GO:2000630   positive regulation of miRNA metabolic process           10      66     38.1  4.8e-13    4.5e-12
GO:0014015   positive regulation of gliogenesis                       11      96     28.8  5.0e-13    4.7e-12
GO:0060828   regulation of canonical Wnt signaling pathway            15     271     13.9  5.2e-13    4.9e-12
GO:0045601   regulation of endothelial cell differentiation            9      43     52.7  5.4e-13    5.1e-12
GO:0001655   urogenital system development                            10      67     37.6  5.5e-13    5.1e-12
GO:0007416   synapse assembly                                         12     133     22.7  5.8e-13    5.4e-12
GO:0003272   endocardial cushion formation                             8      25     80.5  5.9e-13    5.5e-12
GO:0071559   response to transforming growth factor beta              13     176     18.6  6.5e-13    6.0e-12
GO:0042490   mechanoreceptor differentiation                          11     100     27.7  7.6e-13    7.0e-12
GO:0008406   gonad development                                        15     282     13.4  8.9e-13    8.2e-12
GO:0003143   embryonic heart tube morphogenesis                       10      71     35.4  9.2e-13    8.5e-12
GO:0043068   positive regulation of programmed cell death             21     708      7.5  9.8e-13    9.0e-12
GO:0045137   development of primary sexual characteristics            15     286     13.2  1.1e-12    9.9e-12
GO:0031099   regeneration                                             13     184     17.8  1.1e-12    1.0e-11
GO:2001236   regulation of extrinsic apoptotic signaling pathway      13     184     17.8  1.1e-12    1.0e-11
GO:0009952   anterior/posterior pattern specification                 14     233     15.1  1.1e-12    1.0e-11
GO:0021675   nerve development                                        11     105     26.4  1.2e-12    1.1e-11
GO:1905207   regulation of cardiocyte differentiation                  8      28     71.9  1.3e-12    1.2e-11
GO:0030595   leukocyte chemotaxis                                     12     143     21.1  1.3e-12    1.2e-11
GO:1903037   regulation of leukocyte cell-cell adhesion               17     414     10.3  1.3e-12    1.2e-11
GO:0031345   negative regulation of cell projection organization      14     237     14.9  1.4e-12    1.3e-11
GO:2001237   negative regulation of extrinsic apoptotic signaling p   11     107     25.9  1.5e-12    1.3e-11
GO:0035904   aorta development                                        10      75     33.5  1.5e-12    1.4e-11
GO:0060390   regulation of SMAD protein signal transduction           10      76     33.1  1.7e-12    1.5e-11
GO:0061383   trabecula morphogenesis                                   9      50     45.3  1.8e-12    1.6e-11
GO:0044344   cellular response to fibroblast growth factor stimulus   10      77     32.7  1.9e-12    1.7e-11
GO:0051251   positive regulation of lymphocyte activation             16     359     11.2  1.9e-12    1.7e-11
GO:0042060   wound healing                                            15     299     12.6  2.0e-12    1.8e-11
GO:1903039   positive regulation of leukocyte cell-cell adhesion      15     299     12.6  2.0e-12    1.8e-11
GO:0035282   segmentation                                             11     111     24.9  2.2e-12    1.9e-11
GO:0048592   eye morphogenesis                                        13     195     16.8  2.2e-12    2.0e-11
GO:1902893   regulation of miRNA transcription                        10      79     31.8  2.4e-12    2.1e-11
GO:0030308   negative regulation of cell growth                       13     197     16.6  2.5e-12    2.2e-11
GO:0045859   regulation of protein kinase activity                    16     366     11.0  2.5e-12    2.2e-11
GO:0006796   phosphate-containing compound metabolic process          20     661      7.6  2.6e-12    2.2e-11
GO:0048145   regulation of fibroblast proliferation                   11     113     24.5  2.6e-12    2.3e-11
GO:0048771   tissue remodeling                                        12     153     19.7  2.7e-12    2.4e-11
GO:0071679   commissural neuron axon guidance                          7      16    110.1  2.9e-12    2.5e-11
GO:0050900   leukocyte migration                                      14     253     13.9  3.3e-12    2.8e-11
GO:0001974   blood vessel remodeling                                   9      54     41.9  3.4e-12    2.9e-11
GO:0051726   regulation of cell cycle                                 25    1144      5.5  3.6e-12    3.1e-11
GO:0008037   cell recognition                                         12     158     19.1  3.9e-12    3.3e-11
GO:0050670   regulation of lymphocyte proliferation                   14     257     13.7  4.0e-12    3.4e-11
GO:0043542   endothelial cell migration                               10      84     30.0  4.3e-12    3.6e-11
GO:0071774   response to fibroblast growth factor                     10      84     30.0  4.3e-12    3.6e-11
GO:0032355   response to estradiol                                    11     119     23.3  4.4e-12    3.7e-11
GO:0043065   positive regulation of apoptotic process                 20     682      7.4  4.4e-12    3.8e-11
GO:0048706   embryonic skeletal system development                    12     160     18.9  4.4e-12    3.8e-11
GO:0032944   regulation of mononuclear cell proliferation             14     260     13.5  4.6e-12    3.9e-11
GO:0045666   positive regulation of neuron differentiation            11     120     23.1  4.8e-12    4.0e-11
GO:0051146   striated muscle cell differentiation                     14     264     13.3  5.6e-12    4.8e-11
GO:0048640   negative regulation of developmental growth              11     122     22.7  5.6e-12    4.8e-11
GO:0048593   camera-type eye morphogenesis                            12     165     18.3  6.2e-12    5.3e-11
GO:0051149   positive regulation of muscle cell differentiation       10      90     28.0  8.0e-12    6.7e-11
GO:0043549   regulation of kinase activity                            16     397     10.1  8.2e-12    6.9e-11
GO:0046777   protein autophosphorylation                              12     170     17.8  8.7e-12    7.3e-11
GO:0002011   morphogenesis of an epithelial sheet                      9      61     37.1  9.1e-12    7.6e-11
GO:0009612   response to mechanical stimulus                          14     275     12.8  9.5e-12    7.9e-11
GO:0042475   odontogenesis of dentin-containing tooth                 10      92     27.3  9.8e-12    8.1e-11
GO:0002687   positive regulation of leukocyte migration               12     172     17.6  9.9e-12    8.2e-11
GO:0007369   gastrulation                                             12     172     17.6  9.9e-12    8.2e-11
GO:0046620   regulation of organ growth                               11     129     21.5  9.9e-12    8.2e-11
GO:0043536   positive regulation of blood vessel endothelial cell m    9      62     36.5  1.0e-11    8.6e-11
GO:0022604   regulation of cell morphogenesis                         14     277     12.7  1.0e-11    8.6e-11
GO:0001764   neuron migration                                         12     173     17.5  1.1e-11    8.6e-11
GO:0051150   regulation of smooth muscle cell differentiation          8      38     53.0  1.1e-11    8.8e-11
GO:0048588   developmental cell growth                                11     131     21.1  1.2e-11    9.5e-11
GO:0010564   regulation of cell cycle process                         21     814      6.5  1.3e-11    1.0e-10
GO:0002065   columnar/cuboidal epithelial cell differentiation        10      95     26.5  1.3e-11    1.1e-10
GO:2000628   regulation of miRNA metabolic process                    10      95     26.5  1.3e-11    1.1e-10
GO:0001947   heart looping                                             9      64     35.4  1.3e-11    1.1e-10
GO:0070663   regulation of leukocyte proliferation                    14     283     12.4  1.4e-11    1.1e-10
GO:0016049   cell growth                                              11     134     20.7  1.5e-11    1.2e-10
GO:0046622   positive regulation of organ growth                       9      65     34.8  1.5e-11    1.2e-10
GO:0003230   cardiac atrium development                                8      40     50.3  1.5e-11    1.2e-10
GO:0002694   regulation of leukocyte activation                       19     646      7.4  1.5e-11    1.2e-10
GO:0035050   embryonic heart tube development                         10      97     25.9  1.6e-11    1.3e-10
GO:0062043   positive regulation of cardiac epithelial to mesenchym    6       9    167.7  1.6e-11    1.3e-10
GO:0030111   regulation of Wnt signaling pathway                      15     349     10.8  1.6e-11    1.3e-10
GO:0007368   determination of left/right symmetry                     11     137     20.2  1.8e-11    1.5e-10
GO:0001817   regulation of cytokine production                        22     926      6.0  1.8e-11    1.5e-10
GO:0031290   retinal ganglion cell axon guidance                       7      22     80.1  1.8e-11    1.5e-10
GO:0001709   cell fate determination                                   8      41     49.1  1.8e-11    1.5e-10
GO:0034329   cell junction assembly                                   14     292     12.1  2.0e-11    1.6e-10
GO:0048675   axon extension                                            8      42     47.9  2.2e-11    1.7e-10
GO:0016331   morphogenesis of embryonic epithelium                    12     185     16.3  2.2e-11    1.7e-10
GO:0031100   animal organ regeneration                                 9      68     33.3  2.2e-11    1.7e-10
GO:0045685   regulation of glial cell differentiation                 10     102     24.7  2.5e-11    2.0e-10
GO:0062042   regulation of cardiac epithelial to mesenchymal transi    6      10    151.0  2.6e-11    2.0e-10
GO:0072111   cell proliferation involved in kidney development         6      10    151.0  2.6e-11    2.0e-10
GO:0048286   lung alveolus development                                 9      70     32.3  2.8e-11    2.2e-10
GO:0061371   determination of heart left/right asymmetry               9      70     32.3  2.8e-11    2.2e-10
GO:0009799   specification of symmetry                                11     143     19.4  2.8e-11    2.2e-10
GO:0009855   determination of bilateral symmetry                      11     143     19.4  2.8e-11    2.2e-10
GO:0051338   regulation of transferase activity                       16     434      9.3  3.0e-11    2.3e-10
GO:0002042   cell migration involved in sprouting angiogenesis         7      24     73.4  3.0e-11    2.4e-10
GO:0048485   sympathetic nervous system development                    7      24     73.4  3.0e-11    2.4e-10
GO:0061437   renal system vasculature development                      7      24     73.4  3.0e-11    2.4e-10
GO:0061440   kidney vasculature development                            7      24     73.4  3.0e-11    2.4e-10
GO:0060972   left/right pattern formation                             11     145     19.1  3.2e-11    2.5e-10
GO:0051216   cartilage development                                    12     192     15.7  3.3e-11    2.5e-10
GO:0030097   hemopoiesis                                              21     860      6.1  3.4e-11    2.6e-10
GO:0022029   telencephalon cell migration                              9      72     31.4  3.5e-11    2.7e-10
GO:0009725   response to hormone                                      22     961      5.8  3.7e-11    2.8e-10
GO:0043406   positive regulation of MAP kinase activity                9      73     31.0  3.9e-11    3.0e-10
GO:0048843   negative regulation of axon extension involved in axon    6      11    137.2  4.0e-11    3.1e-10
GO:0032880   regulation of protein localization                       23    1070      5.4  4.2e-11    3.2e-10
GO:0014910   regulation of smooth muscle cell migration               10     108     23.3  4.2e-11    3.2e-10
GO:0002685   regulation of leukocyte migration                        13     250     13.1  4.2e-11    3.2e-10
GO:0043588   skin development                                         14     311     11.3  4.5e-11    3.4e-10
GO:0021885   forebrain cell migration                                  9      75     30.2  4.9e-11    3.7e-10
GO:0051153   regulation of striated muscle cell differentiation       10     110     22.9  5.0e-11    3.8e-10
GO:0021915   neural tube development                                  12     200     15.1  5.2e-11    3.9e-10
GO:0050773   regulation of dendrite development                       11     154     18.0  5.9e-11    4.5e-10
GO:0060638   mesenchymal-epithelial cell signaling                     6      12    125.8  6.0e-11    4.5e-10
GO:0007350   blastoderm segmentation                                   7      27     65.2  6.2e-11    4.6e-10
GO:0030177   positive regulation of Wnt signaling pathway             11     155     17.9  6.3e-11    4.7e-10
GO:0097191   extrinsic apoptotic signaling pathway                    10     113     22.3  6.4e-11    4.8e-10
GO:1903829   positive regulation of protein localization              17     536      8.0  6.5e-11    4.9e-10
GO:0007219   Notch signaling pathway                                  10     115     21.9  7.5e-11    5.6e-10
GO:0046661   male sex differentiation                                 12     207     14.6  7.5e-11    5.6e-10
GO:0062009   secondary palate development                              7      28     62.9  7.7e-11    5.7e-10
GO:0071396   cellular response to lipid                               19     714      6.7  8.1e-11    6.0e-10
GO:0050671   positive regulation of lymphocyte proliferation          11     159     17.4  8.2e-11    6.0e-10
GO:0030850   prostate gland development                                8      51     39.5  8.7e-11    6.4e-10
GO:0048483   autonomic nervous system development                      8      51     39.5  8.7e-11    6.4e-10
GO:0032946   positive regulation of mononuclear cell proliferation    11     161     17.2  9.3e-11    6.8e-10
GO:0060740   prostate gland epithelium morphogenesis                   7      29     60.7  9.5e-11    7.0e-10
GO:0003158   endothelium development                                  10     118     21.3  9.5e-11    7.0e-10
GO:0001704   formation of primary germ layer                          10     119     21.1  1.0e-10    7.5e-10
GO:0050870   positive regulation of T cell activation                 13     271     12.1  1.1e-10    8.0e-10
GO:0003208   cardiac ventricle morphogenesis                           9      83     27.3  1.1e-10    8.2e-10
GO:0001658   branching involved in ureteric bud morphogenesis          8      53     38.0  1.1e-10    8.4e-10
GO:0016202   regulation of striated muscle tissue development          8      53     38.0  1.1e-10    8.4e-10
GO:0060512   prostate gland morphogenesis                              7      30     58.7  1.2e-10    8.5e-10
GO:0001889   liver development                                        11     167     16.6  1.3e-10    9.7e-10
GO:0051249   regulation of lymphocyte activation                      17     563      7.6  1.4e-10    9.9e-10
GO:0038179   neurotrophin signaling pathway                            7      31     56.8  1.4e-10    1.0e-09
GO:0061298   retina vasculature development in camera-type eye         7      31     56.8  1.4e-10    1.0e-09
GO:0060043   regulation of cardiac muscle cell proliferation           8      55     36.6  1.5e-10    1.1e-09
GO:0072175   epithelial tube formation                                11     169     16.4  1.5e-10    1.1e-09
GO:0060415   muscle tissue morphogenesis                               9      86     26.3  1.5e-10    1.1e-09
GO:0022408   negative regulation of cell-cell adhesion                12     222     13.6  1.6e-10    1.2e-09
GO:0061008   hepaticobiliary system development                       11     171     16.2  1.7e-10    1.2e-09
GO:0048546   digestive tract morphogenesis                             8      56     35.9  1.7e-10    1.2e-09
GO:1901861   regulation of muscle tissue development                   8      56     35.9  1.7e-10    1.2e-09
GO:0048634   regulation of muscle organ development                    8      57     35.3  1.9e-10    1.4e-09
GO:0002062   chondrocyte differentiation                               9      89     25.4  2.0e-10    1.4e-09
GO:0055021   regulation of cardiac muscle tissue growth                9      89     25.4  2.0e-10    1.4e-09
GO:1990138   neuron projection extension                               9      89     25.4  2.0e-10    1.4e-09
GO:0003209   cardiac atrium morphogenesis                              7      33     53.4  2.1e-10    1.5e-09
GO:0003401   axis elongation                                           7      33     53.4  2.1e-10    1.5e-09
GO:0032965   regulation of collagen biosynthetic process               8      58     34.7  2.2e-10    1.6e-09
GO:0045773   positive regulation of axon extension                     8      58     34.7  2.2e-10    1.6e-09
GO:0035860   glial cell-derived neurotrophic factor receptor signal    6      16     94.3  2.4e-10    1.7e-09
GO:0051054   positive regulation of DNA metabolic process             14     355      9.9  2.4e-10    1.7e-09
GO:0046578   regulation of Ras protein signal transduction             8      59     34.1  2.5e-10    1.7e-09
GO:0035909   aorta morphogenesis                                       7      34     51.8  2.5e-10    1.8e-09
GO:0070665   positive regulation of leukocyte proliferation           11     178     15.5  2.5e-10    1.8e-09
GO:2000573   positive regulation of DNA biosynthetic process           8      60     33.5  2.8e-10    2.0e-09
GO:0030947   regulation of vascular endothelial growth factor recep    7      35     50.3  3.0e-10    2.1e-09
GO:0043534   blood vessel endothelial cell migration                   7      35     50.3  3.0e-10    2.1e-09
GO:2001028   positive regulation of endothelial cell chemotaxis        6      17     88.8  3.2e-10    2.2e-09
GO:0002688   regulation of leukocyte chemotaxis                       10     135     18.6  3.3e-10    2.3e-09
GO:0009953   dorsal/ventral pattern formation                          9      95     23.8  3.4e-10    2.4e-09
GO:0048644   muscle organ morphogenesis                                9      95     23.8  3.4e-10    2.4e-09
GO:0097529   myeloid leukocyte migration                              10     136     18.5  3.5e-10    2.4e-09
GO:0071542   dopaminergic neuron differentiation                       7      36     48.9  3.6e-10    2.5e-09
GO:0001708   cell fate specification                                   9      96     23.6  3.7e-10    2.6e-09
GO:0060420   regulation of heart growth                                9      96     23.6  3.7e-10    2.6e-09
GO:1901698   response to nitrogen compound                            22    1091      5.1  3.9e-10    2.6e-09
GO:0050930   induction of positive chemotaxis                          6      18     83.9  4.3e-10    2.9e-09
GO:2000047   regulation of cell-cell adhesion mediated by cadherin     6      18     83.9  4.3e-10    2.9e-09
GO:0048566   embryonic digestive tract development                     7      37     47.6  4.3e-10    2.9e-09
GO:0045599   negative regulation of fat cell differentiation           8      64     31.4  4.5e-10    3.1e-09
GO:0060425   lung morphogenesis                                        8      65     31.0  5.0e-10    3.4e-09
GO:0060675   ureteric bud morphogenesis                                8      65     31.0  5.0e-10    3.4e-09
GO:0010810   regulation of cell-substrate adhesion                    12     247     12.2  5.2e-10    3.5e-09
GO:0060602   branch elongation of an epithelium                        6      19     79.5  5.6e-10    3.8e-09
GO:2000725   regulation of cardiac muscle cell differentiation         6      19     79.5  5.6e-10    3.8e-09
GO:0010712   regulation of collagen metabolic process                  8      66     30.5  5.6e-10    3.8e-09
GO:0032967   positive regulation of collagen biosynthetic process      7      39     45.2  5.9e-10    4.0e-09
GO:0009628   response to abiotic stimulus                             24    1351      4.5  6.6e-10    4.4e-09
GO:0060993   kidney morphogenesis                                      9     103     22.0  6.7e-10    4.5e-09
GO:0042129   regulation of T cell proliferation                       11     196     14.1  6.7e-10    4.5e-09
GO:0061041   regulation of wound healing                              10     146     17.2  6.7e-10    4.5e-09
GO:0060664   epithelial cell proliferation involved in salivary gla    5       7    179.7  6.9e-10    4.6e-09
GO:0060978   angiogenesis involved in coronary vascular morphogenes    5       7    179.7  6.9e-10    4.6e-09
GO:1901166   neural crest cell migration involved in autonomic nerv    5       7    179.7  6.9e-10    4.6e-09
GO:0001890   placenta development                                     11     197     14.0  7.1e-10    4.7e-09
GO:0007179   transforming growth factor beta receptor signaling pat    9     104     21.8  7.2e-10    4.8e-09
GO:0071902   positive regulation of protein serine/threonine kinase    9     104     21.8  7.2e-10    4.8e-09
GO:0051046   regulation of secretion                                  19     819      5.8  7.6e-10    5.0e-09
GO:0061180   mammary gland epithelium development                      8      69     29.2  7.8e-10    5.1e-09
GO:0072171   mesonephric tubule morphogenesis                          8      69     29.2  7.8e-10    5.1e-09
GO:0021983   pituitary gland development                               7      41     43.0  8.1e-10    5.3e-09
GO:0060603   mammary gland duct morphogenesis                          7      41     43.0  8.1e-10    5.3e-09
GO:0048511   rhythmic process                                         12     258     11.7  8.4e-10    5.5e-09
GO:0098773   skin epidermis development                               10     150     16.8  8.6e-10    5.6e-09
GO:0006954   inflammatory response                                    16     551      7.3  8.7e-10    5.7e-09
GO:0002690   positive regulation of leukocyte chemotaxis               9     107     21.2  9.1e-10    6.0e-09
GO:0061351   neural precursor cell proliferation                       9     107     21.2  9.1e-10    6.0e-09
GO:0010714   positive regulation of collagen metabolic process         7      42     41.9  9.4e-10    6.1e-09
GO:0001707   mesoderm formation                                        8      72     28.0  1.1e-09    6.9e-09
GO:0055008   cardiac muscle tissue morphogenesis                       8      72     28.0  1.1e-09    6.9e-09
GO:2000179   positive regulation of neural precursor cell prolifera    8      72     28.0  1.1e-09    6.9e-09
GO:1905332   positive regulation of morphogenesis of an epithelium     7      43     41.0  1.1e-09    7.0e-09
GO:0061438   renal system vasculature morphogenesis                    5       8    157.2  1.1e-09    7.2e-09
GO:0061439   kidney vasculature morphogenesis                          5       8    157.2  1.1e-09    7.2e-09
GO:0072203   cell proliferation involved in metanephros development    5       8    157.2  1.1e-09    7.2e-09
GO:0045598   regulation of fat cell differentiation                   10     155     16.2  1.2e-09    7.5e-09
GO:0048532   anatomical structure arrangement                          6      22     68.6  1.2e-09    7.5e-09
GO:0072012   glomerulus vasculature development                        6      22     68.6  1.2e-09    7.5e-09
GO:0099175   regulation of postsynapse organization                   11     209     13.2  1.3e-09    8.2e-09
GO:0060041   retina development in camera-type eye                    11     212     13.1  1.5e-09    9.4e-09
GO:0048332   mesoderm morphogenesis                                    8      76     26.5  1.6e-09    1.0e-08
GO:0050863   regulation of T cell activation                          14     415      8.5  1.7e-09    1.1e-08
GO:0021891   olfactory bulb interneuron development                    5       9    139.8  1.7e-09    1.1e-08
GO:0046579   positive regulation of Ras protein signal transduction    6      24     62.9  1.8e-09    1.2e-08
GO:0044089   positive regulation of cellular component biogenesis     16     583      6.9  1.9e-09    1.2e-08
GO:0035137   hindlimb morphogenesis                                    7      47     37.5  1.9e-09    1.2e-08
GO:0021700   developmental maturation                                 13     347      9.4  2.0e-09    1.3e-08
GO:0030901   midbrain development                                      7      48     36.7  2.2e-09    1.4e-08
GO:0045892   negative regulation of DNA-templated transcription       24    1440      4.2  2.3e-09    1.4e-08
GO:0072078   nephron tubule morphogenesis                              8      80     25.2  2.3e-09    1.4e-08
GO:0051253   negative regulation of RNA metabolic process             25    1565      4.0  2.3e-09    1.4e-08
GO:1902679   negative regulation of RNA biosynthetic process          24    1444      4.2  2.4e-09    1.5e-08
GO:0046660   female sex differentiation                               10     168     15.0  2.4e-09    1.5e-08
GO:0055023   positive regulation of cardiac muscle tissue growth       7      49     35.9  2.5e-09    1.6e-08
GO:0043405   regulation of MAP kinase activity                         9     121     18.7  2.5e-09    1.6e-08
GO:0003149   membranous septum morphogenesis                           5      10    125.8  2.6e-09    1.6e-08
GO:0001819   positive regulation of cytokine production               16     598      6.7  2.7e-09    1.7e-08
GO:0072088   nephron epithelium morphogenesis                          8      82     24.5  2.8e-09    1.7e-08
GO:0006929   substrate-dependent cell migration                        6      26     58.1  2.8e-09    1.7e-08
GO:1905562   regulation of vascular endothelial cell proliferation     6      26     58.1  2.8e-09    1.7e-08
GO:0072028   nephron morphogenesis                                     8      83     24.3  3.0e-09    1.9e-08
GO:0007517   muscle organ development                                 12     291     10.4  3.1e-09    1.9e-08
GO:0044057   regulation of system process                             17     700      6.1  3.4e-09    2.1e-08
GO:0060421   positive regulation of heart growth                       7      52     33.9  3.6e-09    2.2e-08
GO:0051924   regulation of calcium ion transport                      12     296     10.2  3.7e-09    2.3e-08
GO:0055007   cardiac muscle cell differentiation                       9     127     17.8  3.8e-09    2.3e-08
GO:0061333   renal tubule morphogenesis                                8      86     23.4  3.9e-09    2.4e-08
GO:0045321   leukocyte activation                                     17     707      6.0  3.9e-09    2.4e-08
GO:0021772   olfactory bulb development                                7      53     33.2  4.1e-09    2.5e-08
GO:0048701   embryonic cranial skeleton morphogenesis                  7      53     33.2  4.1e-09    2.5e-08
GO:0060317   cardiac epithelial to mesenchymal transition              6      28     53.9  4.1e-09    2.5e-08
GO:0061053   somite development                                        8      87     23.1  4.2e-09    2.6e-08
GO:1901890   positive regulation of cell junction assembly             9     130     17.4  4.6e-09    2.8e-08
GO:1904888   cranial skeletal system development                       8      88     22.9  4.6e-09    2.8e-08
GO:0042472   inner ear morphogenesis                                   9     131     17.3  4.9e-09    2.9e-08
GO:0048010   vascular endothelial growth factor receptor signaling     6      29     52.1  5.0e-09    3.0e-08
GO:0019221   cytokine-mediated signaling pathway                      14     454      7.8  5.1e-09    3.1e-08
GO:0070098   chemokine-mediated signaling pathway                      8      90     22.4  5.4e-09    3.3e-08
GO:0010596   negative regulation of endothelial cell migration         7      56     31.4  5.8e-09    3.5e-08
GO:0021988   olfactory lobe development                                7      56     31.4  5.8e-09    3.5e-08
GO:0051145   smooth muscle cell differentiation                        7      56     31.4  5.8e-09    3.5e-08
GO:0030100   regulation of endocytosis                                13     381      8.6  5.9e-09    3.5e-08
GO:0021872   forebrain generation of neurons                           8      91     22.1  5.9e-09    3.5e-08
GO:0030509   BMP signaling pathway                                     8      91     22.1  5.9e-09    3.5e-08
GO:0060070   canonical Wnt signaling pathway                           8      92     21.9  6.4e-09    3.8e-08
GO:0055010   ventricular cardiac muscle tissue morphogenesis           7      57     30.9  6.5e-09    3.9e-08
GO:1903530   regulation of secretion by cell                          17     735      5.8  6.9e-09    4.1e-08
GO:0003008   system process                                           36    3270      2.8  6.9e-09    4.1e-08
GO:0045446   endothelial cell differentiation                          8      93     21.6  6.9e-09    4.1e-08
GO:0060045   positive regulation of cardiac muscle cell proliferati    6      31     48.7  7.0e-09    4.2e-08
GO:0030857   negative regulation of epithelial cell differentiation    7      59     29.9  8.1e-09    4.8e-08
GO:0010638   positive regulation of organelle organization            15     562      6.7  9.1e-09    5.4e-08
GO:0009410   response to xenobiotic stimulus                          14     477      7.4  9.4e-09    5.5e-08
GO:0019233   sensory perception of pain                                8      97     20.8  9.4e-09    5.6e-08
GO:0030949   positive regulation of vascular endothelial growth fac    5      14     89.9  9.9e-09    5.8e-08
GO:0048672   positive regulation of collateral sprouting               5      14     89.9  9.9e-09    5.8e-08
GO:0060426   lung vasculature development                              5      14     89.9  9.9e-09    5.8e-08
GO:0045687   positive regulation of glial cell differentiation         7      62     28.4  1.1e-08    6.5e-08
GO:0045934   negative regulation of nucleobase-containing compound    25    1696      3.7  1.1e-08    6.6e-08
GO:2000278   regulation of DNA biosynthetic process                    8     100     20.1  1.2e-08    6.9e-08
GO:0071216   cellular response to biotic stimulus                     12     330      9.1  1.2e-08    6.9e-08
GO:1990868   response to chemokine                                     8     101     19.9  1.3e-08    7.4e-08
GO:1990869   cellular response to chemokine                            8     101     19.9  1.3e-08    7.4e-08
GO:0032680   regulation of tumor necrosis factor production           10     202     12.5  1.3e-08    7.6e-08
GO:0003183   mitral valve morphogenesis                                5      15     83.9  1.3e-08    7.6e-08
GO:1905209   positive regulation of cardiocyte differentiation         5      15     83.9  1.3e-08    7.6e-08
GO:0002521   leukocyte differentiation                                14     492      7.2  1.4e-08    7.9e-08
GO:0021782   glial cell development                                    9     149     15.2  1.4e-08    8.1e-08
GO:1903555   regulation of tumor necrosis factor superfamily cytoki   10     205     12.3  1.5e-08    8.6e-08
GO:0061384   heart trabecula morphogenesis                             6      36     41.9  1.6e-08    9.1e-08
GO:0001818   negative regulation of cytokine production               12     339      8.9  1.6e-08    9.1e-08
GO:0035290   trunk segmentation                                        4       4    251.6  1.6e-08    9.2e-08
GO:0036484   trunk neural crest cell migration                         4       4    251.6  1.6e-08    9.2e-08
GO:0036486   ventral trunk neural crest cell migration                 4       4    251.6  1.6e-08    9.2e-08
GO:0097491   sympathetic neuron projection guidance                    4       4    251.6  1.6e-08    9.2e-08
GO:1903847   regulation of aorta morphogenesis                         4       4    251.6  1.6e-08    9.2e-08
GO:1903849   positive regulation of aorta morphogenesis                4       4    251.6  1.6e-08    9.2e-08
GO:0030278   regulation of ossification                                9     152     14.9  1.7e-08    9.5e-08
GO:0060979   vasculogenesis involved in coronary vascular morphogen    5      16     78.6  1.7e-08    9.8e-08
GO:0002718   regulation of cytokine production involved in immune r    8     106     19.0  1.8e-08    1.0e-07
GO:0048814   regulation of dendrite morphogenesis                      8     106     19.0  1.8e-08    1.0e-07
GO:0030858   positive regulation of epithelial cell differentiation    7      67     26.3  1.8e-08    1.0e-07
GO:0032835   glomerulus development                                    7      67     26.3  1.8e-08    1.0e-07
GO:0048704   embryonic skeletal system morphogenesis                   8     107     18.8  1.9e-08    1.1e-07
GO:0050731   positive regulation of peptidyl-tyrosine phosphorylati    8     107     18.8  1.9e-08    1.1e-07
GO:0042471   ear morphogenesis                                         9     156     14.5  2.0e-08    1.2e-07
GO:0071772   response to BMP                                           8     108     18.6  2.1e-08    1.2e-07
GO:0071773   cellular response to BMP stimulus                         8     108     18.6  2.1e-08    1.2e-07
GO:0003174   mitral valve development                                  5      17     74.0  2.2e-08    1.2e-07
GO:0003222   ventricular trabecula myocardium morphogenesis            5      17     74.0  2.2e-08    1.2e-07
GO:0003229   ventricular cardiac muscle tissue development             7      70     25.2  2.4e-08    1.3e-07
GO:0007159   leukocyte cell-cell adhesion                              7      70     25.2  2.4e-08    1.3e-07
GO:0045778   positive regulation of ossification                       7      70     25.2  2.4e-08    1.3e-07
GO:0035567   non-canonical Wnt signaling pathway                       6      39     38.7  2.4e-08    1.3e-07
GO:0090288   negative regulation of cellular response to growth fac    8     111     18.1  2.5e-08    1.4e-07
GO:0051148   negative regulation of muscle cell differentiation        7      71     24.8  2.6e-08    1.5e-07
GO:0070167   regulation of biomineral tissue development               8     112     18.0  2.7e-08    1.5e-07
GO:0021846   cell proliferation in forebrain                           6      40     37.7  2.8e-08    1.5e-07
GO:0071695   anatomical structure maturation                          11     285      9.7  2.8e-08    1.5e-07
GO:0098727   maintenance of cell number                                9     162     14.0  2.8e-08    1.5e-07
GO:0051152   positive regulation of smooth muscle cell differentiat    5      18     69.9  2.8e-08    1.6e-07
GO:0021940   positive regulation of cerebellar granule cell precurs    4       5    201.3  2.9e-08    1.6e-07
GO:0060665   regulation of branching involved in salivary gland mor    4       5    201.3  2.9e-08    1.6e-07
GO:0071674   mononuclear cell migration                                8     113     17.8  2.9e-08    1.6e-07
GO:0014911   positive regulation of smooth muscle cell migration       7      73     24.1  3.1e-08    1.7e-07
GO:1903053   regulation of extracellular matrix organization           7      73     24.1  3.1e-08    1.7e-07
